mean,name,stdDev,time
81.1304353,I,10.51903441,1984
86.62453076,I_N,18.45924497,1984
80.55771747,I_S,14.26905532,1984
65.28206425,II,13.2764605,1984
74.6917351,II_N,17.06428601,1984
84.83231501,II_S,15.40244565,1984
29.37026699,III,12.58742149,1984
36.17426107,III_N,13.24295162,1984
44.34845481,III_S,17.35961142,1984
11.36024451,IV,3.697164305,1984
20.24230968,IV_N,5.883611239,1984
18.32097516,IV_S,4.438419841,1984
56.29835485,I,11.32151705,1985
65.03929129,I_N,15.48863499,1985
64.93070451,I_S,15.21967788,1985
39.19221951,II,9.80420275,1985
48.04583531,II_N,15.27560449,1985
57.08592296,II_S,10.31888817,1985
18.74226706,III,9.279050984,1985
25.13833848,III_N,9.125575963,1985
48.25864045,III_S,16.69102162,1985
7.714704022,IV,3.250010141,1985
19.61254889,IV_N,8.09447963,1985
22.13976932,IV_S,10.23847041,1985
57.45571291,I,9.401945394,1986
62.20549104,I_N,10.55187502,1986
60.05122352,I_S,12.69424278,1986
42.29739433,II,6.72459755,1986
48.66767338,II_N,9.108294388,1986
51.72625564,II_S,9.438762637,1986
25.53508923,III,5.616469511,1986
34.55540928,III_N,6.604055452,1986
32.68586003,III_S,6.370724239,1986
10.36575526,IV,2.127523521,1986
19.03972599,IV_N,4.931246719,1986
18.24240772,IV_S,4.367489138,1986
49.0646633,I,12.16375303,1987
63.49079871,I_N,14.82558555,1987
51.54926821,I_S,15.33341671,1987
28.11783175,II,7.622867526,1987
30.7169622,II_N,8.71206205,1987
42.17174987,II_S,7.965287328,1987
17.34586667,III,5.095027994,1987
27.01308304,III_N,5.493591567,1987
28.1514106,III_S,7.689398129,1987
10.0036751,IV,2.737175945,1987
21.21421206,IV_N,4.813609247,1987
17.88634881,IV_S,4.929189119,1987
66.55660529,I,7.150728235,1988
71.77741908,I_N,11.91588465,1988
70.0117575,I_S,14.89898111,1988
47.49513396,II,7.256215837,1988
55.35982979,II_N,10.99530607,1988
60.01385369,II_S,9.317922869,1988
29.80361534,III,5.707187402,1988
35.51574997,III_N,6.824145319,1988
39.20180014,III_S,7.367475358,1988
12.87564867,IV,2.616121665,1988
20.10321619,IV_N,4.447771762,1988
21.29545108,IV_S,4.28709246,1988
58.48346233,I,9.703311357,1989
59.73546761,I_N,9.39529304,1989
68.17277518,I_S,12.85405886,1989
31.65853179,II,7.687990238,1989
43.07374898,II_N,7.366666056,1989
57.52392028,II_S,9.405164851,1989
23.92406505,III,4.348875743,1989
34.59599101,III_N,4.441552654,1989
43.02205521,III_S,8.070978944,1989
12.62355213,IV,3.221395462,1989
23.02306471,IV_N,4.029754389,1989
23.98667522,IV_S,3.923117022,1989
66.98725277,I,10.21781793,1990
70.68945483,I_N,12.05751886,1990
79.33938597,I_S,15.39807151,1990
43.70615813,II,8.768429046,1990
53.65049206,II_N,10.42099538,1990
63.4372197,II_S,14.3856577,1990
26.85740168,III,5.748875993,1990
33.6789827,III_N,6.968067525,1990
35.33642849,III_S,9.749141215,1990
13.58701342,IV,2.25364186,1990
19.23507778,IV_N,4.713548015,1990
21.22819169,IV_S,3.87779161,1990
44.4029855,I,7.050595798,1991
50.55012794,I_N,9.073131619,1991
56.24082519,I_S,10.57737099,1991
29.75857123,II,4.1991907,1991
35.05496294,II_N,5.706721124,1991
46.49121209,II_S,7.276143647,1991
25.2528226,III,3.378649314,1991
30.6685365,III_N,3.765203769,1991
33.59132128,III_S,5.540530865,1991
10.24181451,IV,2.454814424,1991
16.7619101,IV_N,4.505276953,1991
18.71466577,IV_S,4.531383559,1991
76.04359566,I,7.116350583,1992
68.1204529,I_N,9.531861224,1992
77.16655296,I_S,13.70433059,1992
57.9454873,II,7.287034767,1992
53.5872438,II_N,5.495645703,1992
68.52019223,II_S,9.535987106,1992
41.45743916,III,6.441487372,1992
43.56882844,III_N,4.167657432,1992
54.68678918,III_S,8.785442443,1992
22.20542032,IV,4.061712171,1992
33.37137557,IV_N,4.420893409,1992
33.68155918,IV_S,4.036981465,1992
37.39036936,I,5.831092739,1993
42.23491604,I_N,6.550368501,1993
49.279714,I_S,12.81954076,1993
29.43937121,II,4.86385137,1993
32.46722143,II_N,4.505154242,1993
45.65868554,II_S,10.24168103,1993
19.57259656,III,5.54421317,1993
25.95373229,III_N,5.110245006,1993
32.35789096,III_S,6.660407754,1993
18.11611751,IV,2.887621732,1993
24.17851198,IV_N,4.506456696,1993
28.43056519,IV_S,5.256157652,1993
65.58898485,I,9.019257344,1994
65.59981555,I_N,9.881793414,1994
78.42271403,I_S,15.31566709,1994
51.14051344,II,6.766239113,1994
59.63568921,II_N,10.02383227,1994
63.58776791,II_S,9.689731365,1994
36.61928224,III,6.691798882,1994
45.12826572,III_N,6.428510222,1994
50.47312768,III_S,7.992174298,1994
21.94034294,IV,4.828801239,1994
31.78148454,IV_N,6.247131499,1994
33.83966417,IV_S,5.220926376,1994
34.60279904,I,5.252877651,1995
37.53157597,I_N,5.65186485,1995
37.68592687,I_S,6.400815072,1995
21.29666842,II,4.129097765,1995
26.8715817,II_N,6.10586969,1995
32.49437227,II_S,6.361750918,1995
11.07207428,III,2.814502872,1995
17.36781522,III_N,4.167330277,1995
21.10543025,III_S,5.156240278,1995
8.152916115,IV,1.778824331,1995
15.2464859,IV_N,3.895803046,1995
15.28750239,IV_S,4.351196345,1995
50.09877956,I,11.68619999,1996
56.84018716,I_N,14.71102233,1996
51.40695166,I_S,17.22039398,1996
36.02913569,II,6.525062787,1996
43.12033016,II_N,10.12191095,1996
44.18726315,II_S,8.579424728,1996
19.50739498,III,5.513888293,1996
27.49236331,III_N,6.304900463,1996
30.62277652,III_S,6.983881543,1996
8.55897136,IV,2.149298587,1996
13.96477413,IV_N,3.750877534,1996
15.79209741,IV_S,4.956613976,1996
35.22289511,I,8.815740597,1997
43.99211058,I_N,11.39643525,1997
43.5328232,I_S,13.25913992,1997
22.20473159,II,4.297421002,1997
31.68401411,II_N,4.958003517,1997
38.52005195,II_S,7.227855297,1997
20.4261929,III,3.606414132,1997
29.59473776,III_N,4.396126582,1997
31.49436592,III_S,5.635210596,1997
13.88362481,IV,2.247141789,1997
19.46042769,IV_N,4.060724473,1997
20.88211809,IV_S,3.706364186,1997
33.27518479,I,4.835155976,1998
40.9590092,I_N,7.954638294,1998
37.29027819,I_S,7.838162818,1998
19.98436392,II,4.1705156,1998
30.16038327,II_N,5.963205064,1998
35.07178386,II_S,8.364037346,1998
11.94171091,III,2.385252147,1998
18.41929267,III_N,5.102664396,1998
20.74192232,III_S,5.825328175,1998
10.46380585,IV,1.534093639,1998
15.16474538,IV_N,3.54098667,1998
15.24005731,IV_S,3.595315093,1998
24.65728286,I,3.353858537,1999
31.63426682,I_N,6.361892351,1999
24.83987091,I_S,7.976714499,1999
18.77315436,II,3.294896221,1999
25.45696308,II_N,6.256861435,1999
30.13541911,II_S,5.167558655,1999
11.64170218,III,2.316642223,1999
17.17297025,III_N,4.646614688,1999
21.47050669,III_S,6.081475622,1999
7.383385603,IV,1.152894673,1999
11.80887667,IV_N,3.645341126,1999
12.45288355,IV_S,4.178488334,1999
29.57256289,I,2.792906155,2000
35.51411004,I_N,6.55786707,2000
35.46661065,I_S,7.167006795,2000
21.44331329,II,2.611768877,2000
27.70712385,II_N,7.073310828,2000
32.51678975,II_S,7.8197816,2000
10.63707885,III,3.889693111,2000
15.99216965,III_N,5.50262206,2000
18.83032683,III_S,7.562157469,2000
5.768851563,IV,0.774687558,2000
10.35029388,IV_N,4.276527991,2000
12.5309409,IV_S,5.96447335,2000
36.08680337,I,5.004135644,2001
38.89786973,I_N,6.343953328,2001
47.66638567,I_S,7.306771402,2001
21.99251747,II,3.998225284,2001
26.58877145,II_N,5.811954108,2001
36.70540309,II_S,7.231465004,2001
13.52862925,III,2.678495604,2001
18.23383384,III_N,4.424649447,2001
22.02258263,III_S,7.215125028,2001
11.10513732,IV,1.570618988,2001
15.5042365,IV_N,4.241147805,2001
18.91693704,IV_S,5.950310749,2001
29.06331,I,3.847294591,2002
37.05719463,I_N,5.39686671,2002
43.10752407,I_S,10.16675643,2002
25.81343744,II,3.654627923,2002
36.50101811,II_N,6.54913185,2002
44.06479712,II_S,11.64876999,2002
18.26709575,III,4.649506654,2002
27.02808887,III_N,5.394943727,2002
35.87983861,III_S,12.12656463,2002
9.402995413,IV,1.792410064,2002
17.7663291,IV_N,5.503278673,2002
21.27630661,IV_S,8.438029153,2002
27.28990046,I,4.117884728,2003
33.13798312,I_N,6.863296278,2003
42.14294774,I_S,12.77337512,2003
21.71574275,II,3.524086624,2003
28.52053128,II_N,6.702373601,2003
40.31265964,II_S,13.24423603,2003
14.41521464,III,3.134523328,2003
21.00857555,III_N,4.746993844,2003
33.13966572,III_S,15.05827488,2003
8.831097444,IV,1.472949933,2003
14.16871889,IV_N,5.919142263,2003
24.0874578,IV_S,11.01808476,2003
27.61662268,I,4.374884522,2004
33.3496984,I_N,6.422554685,2004
31.84141272,I_S,6.546574613,2004
18.98639414,II,2.986130804,2004
25.44188942,II_N,6.24056855,2004
28.3954491,II_S,6.930778056,2004
9.93028646,III,3.053901137,2004
15.59889213,III_N,5.04219628,2004
20.39023579,III_S,7.931926324,2004
6.181757593,IV,0.95011888,2004
10.4198502,IV_N,3.989625469,2004
13.9896457,IV_S,5.408993797,2004
31.88941159,I,4.248967413,2005
37.97947134,I_N,6.76713632,2005
33.39571674,I_S,6.913014629,2005
24.35619953,II,4.061124042,2005
33.8215513,II_N,7.795668347,2005
31.82782995,II_S,5.967136962,2005
19.50474864,III,3.271113196,2005
27.74370354,III_N,5.925307893,2005
29.69192895,III_S,5.630525136,2005
10.67274077,IV,2.169411585,2005
17.01539186,IV_N,4.310292146,2005
22.72327332,IV_S,5.629954965,2005
39.58922791,I,4.723864161,2006
45.97447321,I_N,7.310636247,2006
41.9648647,I_S,9.87978702,2006
29.78959708,II,4.157315231,2006
38.28256429,II_N,6.073911215,2006
40.07626792,II_S,5.300496711,2006
20.18208897,III,4.454350998,2006
28.29007464,III_N,5.558655736,2006
30.8674131,III_S,5.504020358,2006
6.567563029,IV,1.51497766,2006
12.43285646,IV_N,4.071868215,2006
15.44948589,IV_S,4.819911088,2006
30.77481005,I,3.885231494,2007
36.62581096,I_N,5.332858806,2007
36.33086501,I_S,6.487708631,2007
20.62914108,II,3.364043238,2007
29.44166349,II_N,6.007978311,2007
30.75481382,II_S,6.641733232,2007
21.17568286,III,3.324005105,2007
27.64795616,III_N,4.816755095,2007
26.54094363,III_S,4.649383113,2007
7.244266052,IV,1.647584604,2007
13.52888001,IV_N,3.661336473,2007
14.60868951,IV_S,4.841816388,2007
31.90299301,I,4.882015056,2008
34.97924372,I_N,6.803071823,2008
41.02197543,I_S,7.33038687,2008
25.16965232,II,4.849570128,2008
34.03709176,II_N,7.057107594,2008
37.05366262,II_S,8.030547246,2008
19.06997497,III,4.136597065,2008
26.67863601,III_N,5.814213271,2008
27.8462102,III_S,7.330496075,2008
5.34332234,IV,1.531679688,2008
9.223610872,IV_N,3.916438088,2008
13.58734472,IV_S,5.856168817,2008
30.79822593,I,4.461298526,2009
36.54013886,I_N,5.044889434,2009
44.32301324,I_S,9.373716824,2009
22.3875992,II,2.747233999,2009
27.91293716,II_N,4.776884803,2009
32.91142434,II_S,5.439844672,2009
19.51872081,III,2.833396302,2009
25.09744909,III_N,3.730641052,2009
26.49938973,III_S,3.899101066,2009
9.107072981,IV,1.435957463,2009
13.59107592,IV_N,3.31020626,2009
15.35466743,IV_S,4.272597356,2009
28.75046454,I,3.717679243,2010
37.78995093,I_N,6.536665876,2010
31.8960426,I_S,6.969129075,2010
24.88082934,II,3.315250522,2010
31.32623509,II_N,5.848006717,2010
32.90435399,II_S,6.302813367,2010
14.02348082,III,4.188801689,2010
19.17178532,III_N,5.199543787,2010
24.5925886,III_S,7.093618859,2010
8.152665072,IV,1.802590997,2010
10.94356345,IV_N,4.151154101,2010
15.65617368,IV_S,4.73745162,2010
32.7277498,I,3.01191453,2011
37.36171327,I_N,5.184186028,2011
42.04343353,I_S,5.907251765,2011
28.00384194,II,2.879899526,2011
32.91854391,II_N,5.135885691,2011
37.46800988,II_S,5.743350145,2011
23.60429905,III,2.920858254,2011
28.35983272,III_N,4.016084057,2011
31.0710826,III_S,5.024719291,2011
7.404350033,IV,1.197644549,2011
10.95610804,IV_N,3.768988715,2011
13.83941297,IV_S,4.961782928,2011
21.52639319,I,3.764163692,2012
26.73899641,I_N,6.970065808,2012
32.61416189,I_S,9.76898012,2012
14.44943795,II,3.015947816,2012
18.83815857,II_N,6.158021749,2012
27.47086145,II_S,12.42055612,2012
9.500687736,III,2.06805183,2012
12.58091019,III_N,4.762000155,2012
19.19119162,III_S,9.593598418,2012
6.046268,IV,0.958487201,2012
9.199365035,IV_N,4.323361876,2012
13.29156498,IV_S,7.832015609,2012
18.4785398,I,2.579536811,2013
23.82898824,I_N,4.810599416,2013
27.31694589,I_S,5.332301534,2013
13.41176539,II,1.333209564,2013
17.65302989,II_N,4.363626151,2013
20.47626455,II_S,5.357217854,2013
10.2054255,III,1.58791674,2013
13.53222192,III_N,3.967521332,2013
14.56706763,III_S,3.773312263,2013
5.907641598,IV,1.131778837,2013
9.500536964,IV_N,3.313531417,2013
10.27422054,IV_S,4.144407917,2013
17.54109754,I,2.383251487,2014
22.00337268,I_N,4.052992339,2014
23.63140063,I_S,3.794656011,2014
12.1101052,II,2.091461583,2014
17.13005376,II_N,4.802015066,2014
19.08261855,II_S,4.573750463,2014
8.156347012,III,1.747345269,2014
11.53653092,III_N,3.696421975,2014
12.95458567,III_S,4.537114926,2014
5.123800028,IV,0.843038362,2014
8.73482576,IV_N,3.642891406,2014
9.045025058,IV_S,4.203286885,2014
24.60604501,I,2.543917139,2015
30.01228219,I_N,4.648159534,2015
31.46793799,I_S,4.977391961,2015
17.4669964,II,2.324629531,2015
20.81721247,II_N,4.802952004,2015
25.54828221,II_S,4.878955759,2015
10.33640075,III,2.573738589,2015
14.4811657,III_N,4.043021848,2015
18.82097013,III_S,5.006559568,2015
4.77860971,IV,0.980798712,2015
9.254202206,IV_N,3.832655065,2015
11.88815085,IV_S,4.740025496,2015
23.36394847,I,2.795154908,2016
28.3094357,I_N,4.45103867,2016
30.21529345,I_S,3.974542743,2016
17.02393578,II,2.367776924,2016
20.56354955,II_N,4.408386878,2016
24.83647068,II_S,4.626025258,2016
8.377201708,III,2.251935432,2016
11.6030198,III_N,3.813363776,2016
14.89243891,III_S,5.18384437,2016
5.998438659,IV,0.936165591,2016
8.488153832,IV_N,3.250906742,2016
10.55361735,IV_S,4.429069247,2016
23.48502436,I,2.455917962,2017
27.82357426,I_N,4.88788313,2017
30.64998764,I_S,4.889023622,2017
15.92769472,II,2.437287354,2017
19.64920364,II_N,4.787125338,2017
22.73479236,II_S,4.840826613,2017
8.010118695,III,2.355309662,2017
12.27331818,III_N,3.985953184,2017
15.5939338,III_S,4.638088894,2017
4.806122698,IV,0.792852878,2017
8.737281301,IV_N,4.117057052,2017
11.30781397,IV_S,5.057663005,2017
21.12464181,I,2.792576731,2018
26.51970835,I_N,4.942285523,2018
28.34476956,I_S,4.427654726,2018
14.08048122,II,1.997169662,2018
16.92388607,II_N,4.489182808,2018
22.14802164,II_S,5.219192293,2018
7.547784167,III,1.928265759,2018
11.7844397,III_N,3.679557988,2018
14.26534627,III_S,4.321138041,2018
4.41425619,IV,0.657022795,2018
8.741282543,IV_N,4.353358092,2018
8.820740091,IV_S,4.231770572,2018
32.95522328,I,4.680931752,2019
37.30513466,I_N,6.862801015,2019
38.60992429,I_S,5.09651839,2019
18.93859849,II,3.735209556,2019
22.15779828,II_N,6.027788688,2019
28.94572631,II_S,6.468678139,2019
8.584460957,III,2.688963991,2019
11.72932596,III_N,3.660910967,2019
14.81353241,III_S,4.627092075,2019
4.325073857,IV,0.930875072,2019
9.065356302,IV_N,4.38156704,2019
8.376759437,IV_S,4.303322896,2019
21.63121619,I,2.757232597,2020
23.77066151,I_N,4.067497956,2020
29.8578251,I_S,5.926066827,2020
12.26507211,II,1.965473335,2020
15.93286347,II_N,4.103375306,2020
20.20653073,II_S,5.711294655,2020
7.747785616,III,1.663775397,2020
10.96309147,III_N,3.190807178,2020
14.04447171,III_S,4.664567565,2020
4.521753878,IV,0.777100507,2020
8.612176474,IV_N,4.480271238,2020
9.559183675,IV_S,4.80786456,2020
28.34020164,I,3.49954148,2021
31.15019328,I_N,4.602277114,2021
35.75708712,I_S,5.810152906,2021
20.06687386,II,3.948642085,2021
22.81871109,II_N,5.133169138,2021
28.02562027,II_S,6.316931795,2021
12.67993251,III,3.387473281,2021
17.32286511,III_N,4.413194973,2021
19.26601398,III_S,4.847725502,2021
5.003303982,IV,0.972721106,2021
9.692500561,IV_N,4.450008502,2021
11.19140753,IV_S,5.076983697,2021
19.46307395,I,2.703221363,2022
23.42109944,I_N,3.863170764,2022
26.84225761,I_S,5.036405626,2022
14.48124166,II,1.772726125,2022
18.99346399,II_N,3.457671161,2022
23.44317186,II_S,6.221738081,2022
10.79229166,III,1.83380363,2022
14.59616357,III_N,3.401120797,2022
17.45698053,III_S,4.664517354,2022
5.366978269,IV,1.215408031,2022
10.50740894,IV_N,4.573353033,2022
13.1941775,IV_S,5.373991206,2022
25.30667358,I,2.568521025,2023
29.14002905,I_N,3.434646367,2023
31.14287113,I_S,4.794102663,2023
16.60473659,II,2.291974722,2023
22.08132407,II_N,3.87082117,2023
26.42439803,II_S,5.441393794,2023
10.99683713,III,2.754408852,2023
15.36495171,III_N,3.984043427,2023
19.23049125,III_S,5.179844264,2023
4.796018017,IV,0.987631116,2023
10.08325106,IV_N,4.377240568,2023
11.22290043,IV_S,4.712978223,2023
